ID de Filme,T+AO0-tulo,Ano de Lan+AOc-amento,G+AOo-nero 1,G+AOo-nero 2,Classifica+AOcA4w-o,Dura+AOcA4w-o,Diretor,Diretor Ganhou Oscar ?,Pa+AO0-s de Origem,Or+AOc-amento (+ACQ-),Ator Principal,Ator Principal Ganhou Oscar,Avalia+AOcA4w-o IMDB,Filme Ganhou Oscar
207,Walk in the Clouds,1995,Drama,Romance,Rated PG+AC0-13 for moments of sensuality and war action,102,Alfonso Arau,Nao,USA,20000000,Keanu Reeves,Nao,6.6,Nao
208,Waterworld,1995,Action,Adventure,12,135,Kevin Reynolds,Nao,USA,175000000,Kevin Costner,Nao,6.1,Nao
213,Burnt By the Sun,1994,Drama,?,Rated R for some language and sexuality,135,Nikita Mikhalkov,Nao,Russia,2800000,Nikita Mikhalkov,Nao,8.0,Sim
215,Before Sunrise,1995,Drama,Romance,12,101,Richard Linklater,Nao,USA,2500000,Ethan Hawke,Nao,8.1,Nao
216,Billy Madison,1995,Comedy,?,Rated PG+AC0-13 for language and crude humor,89,Tamra Davis,Nao,USA,10000000,Adam Sandler,Nao,6.4,Nao
222,Circle of Friends,1995,Drama,Romance,Rated PG+AC0-13 for sexual content,103,Pat O'Connor,Nao,Ireland,?,Chris O'Donnell,Nao,6.6,Nao
223,Clerks,1994,Comedy,?,Rated R on appeal for extensive use of extremely explicit sex+AC0-related dialogue,92,Kevin Smith,Nao,USA,230000,Brian O'Halloran,Nao,7.8,Nao
224,Don Juan DeMarco,1994,Drama,Romance,Rated PG+AC0-13 for sexual content,97,Jeremy Leven,Nao,USA,25000000,Johnny Depp,Nao,6.7,Nao
225,Disclosure,1994,Drama,Thriller,Rated R for a very strong sex scenesexual dialogue and other strong language,128,Barry Levinson,Sim,USA,55000000,Michael Douglas,Sim,6.0,Nao
229,Death and the Maiden,1994,Drama,Thriller,16,103,Roman Polanski,Sim,UK,12000000,Sigourney Weaver,Nao,7.3,Nao
230,Dolores Claiborne,1994,Drama,Thriller,Rated R for language and domestic abuse,132,Taylor Hackford,Nao,USA,?,Kathy Bates,Sim,7.4,Nao
231,Dumb +ACY- Dumber,1994,Comedy,?,Rated PG+AC0-13 for off+AC0-color humor,107,Peter Farrelly,Nao,USA,16000000,Jim Carrey,Nao,7.3,Nao
233,Exotica,1994,Drama,?,Rated R for some sexuality and language,103,Atom Egoyan,Nao,Canada,?,Bruce Greenwood,Nao,7.2,Nao
235,Ed Wood,1994,Drama,Comedy,14,127,Tim Burton,Nao,USA,18000000,Johnny Depp,Nao,7.9,Sim
236,French Kiss,1995,Comedy,Romance,Livre,111,Lawrence Kasdan,Nao,UK,?,Meg Ryan,Nao,6.5,Nao
237,Forget Paris,1995,Comedy,Romance,Rated PG+AC0-13 for languageincluding some sex+AC0-related dialogue,101,Billy Crystal,Nao,USA,?,Billy Crystal,Nao,6.4,Nao
242,Farinelli: il castrato,1994,Drama,Musical,Rated R for depiction of adult themes and sexuality,111,Gerard Corbiau,Nao,France,?,Stefano Dionisi,Nao,6.9,Nao
246,Hoop Dreams,1994,Documentary,?,Rated PG+AC0-13 for drug content and some strong language,170,Steve James,Nao,USA,700000,William Gates,Nao,8.3,Nao
247,Heavenly Creatures,1994,Drama,Romance,KNT/ENA,99,Peter Jackson,Sim,New Zealand,5000000,Melanie Lynskey,Nao,7.4,Nao
248,Houseguest,1995,Comedy,?,Rated PG for language double entendre humor and some comic violence,113,Randall Miller,Nao,USA,10500000,Sinbad,Nao,5.9,Nao
249,Immortal Beloved,1994,Drama,Romance,Rated R for scenes of violence and sexuality,121,Bernard Rose,Nao,UK,?,Gary Oldman,Nao,7.5,Nao
252,I.Q.,1994,Comedy,Romance,Rated PG for some mild language,100,Fred Schepisi,Nao,USA,25000000,Tim Robbins,Sim,6.2,Nao
253,Interview with the Vampire,1994,Horror,Drama,14,123,Neil Jordan,Nao,USA,60000000,Brad Pitt,Nao,7.6,Nao
254,Jefferson in Paris,1995,Drama,?,Rated PG+AC0-13 for mature themesome images of violence and a bawdy puppet show,139,James Ivory,Nao,USA,14000000,Nick Nolte,Nao,5.7,Nao
256,Junior,1994,Sci+AC0-Fi,Comedy,Livre,109,Ivan Reitman,Nao,USA,60000000,Arnold Schwarzenegger,Nao,4.6,Nao
257,Just Cause,1995,Thriller,Mystery,Rated R for violence and strong language,102,Arne Glimcher,Nao,USA,?,Sean Connery,Sim,6.4,Nao
260,Star Wars: Episode IV +AC0- A New Hope,1977,Sci+AC0-Fi,Action,10,121,George Lucas,Nao,USA,11000000,Mark Hamill,Nao,8.7,Sim
261,Little Women,1994,Drama,?,Livre,115,Gillian Armstrong,Nao,USA,15000000,Susan Sarandon,Sim,7.3,Nao
265,Like Water for Chocolate,1992,Drama,Romance,Rated R for sexuality,105,Alfonso Arau,Nao,Mexico,2000000,Marco Leonardi,Nao,7.2,Nao
266,Legends of the Fall,1994,Drama,Western,Rated R for violenceand for some sexuality and language,133,Edward Zwick,Nao,USA,30000000,Brad Pitt,Nao,7.5,Sim
269,My Crazy Life,1993,Drama,?,Rated R for strong languageand for drug content and some sexuality,92,Allison Anders,Nao,USA,?,Angel Aviles,Nao,6.6,Nao
272,Madness of King George,1994,Drama,?,14,104,Nicholas Hytner,Nao,UK,?,Nigel Hawthorne,Nao,7.2,Sim
274,Man of the House,1995,Comedy,?,Rated PG+AC0-13 for sex+AC0-related humor,97,Nora Ephron,Nao,USA,15000000,Steve Martin,Nao,5.4,Nao
279,My Family,1995,Drama,?,Rated R for strong languagesome graphic violence and a scene of sexuality,128,Gregory Nava,Nao,USA,5500000,Jimmy Smits,Nao,7.3,Nao
281,Nobody's Fool,1994,Drama,?,Livre,110,Robert Benton,Sim,USA,20000000,Paul Newman,Sim,7.4,Nao
288,Natural Born Killers,1994,Action,Thriller,18,118,Oliver Stone,Sim,USA,34000000,Woody Harrelson,Nao,7.3,Nao
290,Once Were Warriors,1994,Drama,Crime,Rated R for pervasive language and strong depiction of domestic abuseincluding sexual violence and substance abuse,102,Lee Tamahori,Nao,New Zealand,?,Rena Owen,Nao,7.9,Nao
292,Outbreak,1995,Drama,Action,Rated R for language,127,Wolfgang Petersen,Nao,USA,50000000,Dustin Hoffman,Sim,6.6,Nao
293,Professional,1994,Drama,Romance,14,110,Luc Besson,Nao,France,?,Jean Reno,Nao,8.6,Nao
296,Pulp Fiction,1994,Drama,Crime,18,154,Quentin Tarantino,Nao,USA,8000000,John Travolta,Nao,8.9,Sim
299,Priest,1994,Drama,?,Rated R for depiction of mature themes involving sexuality,105,Antonia Bird,Nao,UK,?,Linus Roache,Nao,7.1,Nao
300,Quiz Show,1994,Drama,?,Rated PG+AC0-13 for some strong language,133,Robert Redford,Sim,USA,31000000,Ralph Fiennes,Nao,7.5,Nao
303,Quick and the Dead,1995,Action,Adventure,Rated R for western violence,107,Sam Raimi,Nao,Japan,32000000,Sharon Stone,Nao,6.4,Nao
312,Stuart Saves His Family,1995,Comedy,?,Rated PG+AC0-13 for language and substance abuse,96,Harold Ramis,Nao,Germany,?,Al Franken,Nao,5.3,Nao
314,Secret of Roan Inish,1994,Drama,?,Rated PG for some moments that may be disquieting to small children,103,John Sayles,Nao,USA,3000000,Jeni Courtney,Nao,7.5,Nao
316,Stargate,1994,Sci+AC0-Fi,Action,Rated PG+AC0-13 for sci+AC0-fi action violence,116,Roland Emmerich,Nao,France,55000000,Kurt Russell,Nao,7.1,Nao
317,Santa Clause,1994,Family,Comedy,Livre,97,John Pasquin,Nao,USA,22000000,Tim Allen,Nao,6.4,Nao
318,Shawshank Redemption,1994,Drama,?,16,142,Frank Darabont,Nao,USA,25000000,Tim Robbins,Sim,9.3,Nao
319,Shallow Grave,1994,Thriller,?,Rated R for scenes of strong grisly violenceand for some language and nudity,89,Danny Boyle,Sim,UK,2500000,Kerry Fox,Nao,7.4,Nao
321,Strawberry and Chocolate,1993,Drama,?,Rated R for brief strong sexualityand for language,108,Tomas Gutierrez,Nao,Cuba,?,Jorge Perugorria,Nao,7.5,Nao
325,National Lampoon's Senior Trip,1995,Comedy,?,KNT/ENA,98,Harold Ramis,Nao,USA,15000000,Chevy Chase,Nao,7.4,Nao
329,Star Trek: Generations,1994,Sci+AC0-Fi,Action,Livre,118,David Carson,Nao,USA,35000000,Patrick Stewart,Nao,6.6,Nao
330,Tales from the Hood,1995,Horror,Comedy,Rated R for graphic brutal violence and strong language,98,Rusty Cundieff,Nao,USA,6000000,Clarence Williams III,Nao,6.2,Nao
333,Tommy Boy,1995,Comedy,?,Rated PG+AC0-13 for sex+AC0-related humor some drug content and nudity,97,Peter Segal,Nao,USA,?,Chris Farley,Nao,7.0,Nao
337,What's Eating Gilbert Grape,1993,Drama,?,12,118,Lasse Hallstrom,Nao,USA,11000000,Johnny Depp,Nao,7.8,Nao
339,While You Were Sleeping,1995,Comedy,Romance,12,103,Jon Turteltaub,Nao,USA,17000000,Sandra Bullock,Sim,6.7,Nao
340,War,1994,Drama,Adventure,Rated PG+AC0-13 for the intense depiction of human struggle and conflict,126,Jon Avnet,Nao,USA,?,Elijah Wood,Nao,6.7,Nao
342,Muriel's Wedding,1994,Comedy,Romance,Rated R for sex+AC0-related dialogue and some sexuality,106,P.J. Hogan,Nao,Australia,3000000,Toni Collette,Nao,7.2,Nao
344,Ace Ventura: Pet Detective,1994,Comedy,?,Rated PG+AC0-13 for off+AC0-color humor and some nudity,86,Tom Shadyac,Nao,USA,12000000,Jim Carrey,Nao,6.9,Nao
345,Adventures of Priscilla,1994,Drama,Comedy,14,104,Stephan Elliott,Nao,Australia,?,Hugo Weaving,Nao,7.5,Sim
348,Bullets Over Broadway,1994,Comedy,?,Rated R for some language,98,Woody Allen,Sim,USA,20000000,John Cusack,Nao,7.5,Sim
349,Clear and Present Danger,1994,Action,Adventure,12,141,Phillip Noyce,Nao,USA,62000000,Harrison Ford,Nao,6.9,Nao
350,Client,1994,Drama,Thriller,Rated PG+AC0-13 for a child in jeopardy and brief language,119,Joel Schumacher,Nao,USA,45000000,Susan Sarandon,Sim,6.7,Nao
353,Crow,1994,Action,Romance,16,102,Alex Proyas,Nao,USA,23000000,Brandon Lee,Nao,7.6,Nao
356,Forrest Gump,1994,Comedy,Romance,14,142,Robert Zemeckis,Sim,USA,55000000,Tom Hanks,Sim,8.8,Sim
357,Four Weddings and a Funeral,1994,Comedy,Romance,14,117,Mike Newell,Nao,UK,4400000,Hugh Grant,Nao,7.1,Nao
360,I Love Trouble,1994,Comedy,Action,Rated PG for some mild language sensuality and gunplay,123,Charles Shyer,Nao,USA,45000000,Nick Nolte,Nao,5.2,Nao
361,It Could Happen to You,1994,Drama,Romance,Rated PG for mild language and a scene of cop action,101,Andrew Bergman,Nao,USA,?,Nicolas Cage,Sim,6.3,Nao
364,Lion King,1994,Animation,Family,Livre,88,Roger Allers,Nao,USA,45000000,Matthew Broderick,Nao,8.5,Sim
367,Mask,1994,Comedy,Fantasy,Livre,101,Chuck Russell (as Charles Russell),Nao,USA,18000000,Jim Carrey,Nao,6.9,Nao
368,Maverick,1994,Comedy,Action,Rated PG for mild sensuality language and some western action,127,Richard Donner,Nao,USA,75000000,Mel Gibson,Nao,7.0,Nao
370,Naked Gun 33 1/3: The Final Insult,1994,Comedy,?,Livre,83,Peter Segal,Nao,USA,30000000,Leslie Nielsen,Nao,6.5,Nao
371,Paper,1994,Drama,Comedy,Rated R for strong language,112,Ron Howard,Sim,USA,6000000,Michael Keaton,Nao,6.6,Nao
372,Reality Bites,1994,Drama,Comedy,Rated PG+AC0-13 for some languagedrug content and sensuality,99,Ben Stiller,Nao,USA,11500000,Winona Ryder,Nao,6.6,Nao
376,River Wild,1994,Action,Thriller,Rated PG+AC0-13 for some violence and threatening moments,111,Curtis Hanson,Nao,USA,45000000,Meryl Streep,Sim,6.3,Nao
377,Speed,1994,Action,Romance,14,116,Jan de Bont,Nao,USA,30000000,Keanu Reeves,Nao,7.2,Sim
380,True Lies,1994,Comedy,Romance,14,141,James Cameron,Sim,USA,115000000,Arnold Schwarzenegger,Nao,7.2,Nao
381,When a Man Loves a Woman,1994,Drama,?,Rated R for language,126,Luis Mandoki,Nao,USA,?,Meg Ryan,Nao,6.5,Nao
382,Wolf,1994,Horror,Drama,Rated R for language and werewolf attacks,125,Mike Nichols,Sim,USA,70000000,Jack Nicholson,Sim,6.2,Nao
383,Wyatt Earp,1994,Western,?,Rated PG+AC0-13 for strong gunfightssome language and sensuality,191,Lawrence Kasdan,Nao,USA,63000000,Kevin Costner,Nao,6.6,Nao
405,Highlander III: The Sorcerer,1994,Sci+AC0-Fi,Action,Rated PG+AC0-13 for strong adventure violence and some sensuality,99,Andrew Morahan,Nao,Canada,26000000,Christopher Lambert,Nao,4.3,Nao
410,Addams Family Values,1993,Comedy,?,Rated PG+AC0-13 for macabre humor,94,Barry Sonnenfeld,Nao,USA,?,Anjelica Huston,Sim,6.6,Nao
412,Age of Innocence,1993,Drama,?,Livre,139,Martin Scorsese,Sim,USA,30000000,Daniel Day+AC0-Lewis,Sim,7.2,Sim
418,Being Human,1994,Drama,?,Rated PG+AC0-13 for language and elements of sensuality and violence,122,Bill Forsyth,Nao,UK,30000000,Robin Williams,Sim,5.4,Nao
420,Beverly Hills Cop III,1994,Comedy,Action,12,104,John Landis,Nao,USA,55000000,Eddie Murphy,Nao,5.5,Nao
425,Blue Sky,1994,Drama,Romance,?,101,Tony Richardson,Sim,USA,16000000,Jessica Lange,Sim,6.5,Sim
428,Bronx Tale,1993,Drama,?,12,121,Robert De Niro,Nao,USA,22000000,Robert De Niro,Sim,7.8,Nao
429,Cabin Boy,1994,Comedy,?,Rated PG+AC0-13 for crude language,80,Adam Resnick,Nao,USA,?,Chris Elliott,Nao,5.1,Nao
431,Carlito's Way,1993,Drama,Crime,14,144,Brian De Palma,Nao,USA,30000000,Al Pacino,Sim,7.9,Nao
434,Cliffhanger,1993,Action,Crime,Rated R for violence and language,112,Renny Harlin,Nao,USA,70000000,Sylvester Stallone,Nao,6.4,Nao
435,Coneheads,1993,Sci+AC0-Fi,Comedy,Rated PG for comic nudity and some double entendre humor,88,Steve Barron,Nao,USA,?,Dan Aykroyd,Nao,5.2,Nao
437,Cops and Robbersons,1994,Comedy,?,Rated PG for mild violencelanguage and some comic nudity,93,Michael Ritchie,Nao,USA,?,Chevy Chase,Nao,5.0,Nao
440,Dave,1993,Comedy,Romance,Rated PG+AC0-13 for momentary language and a sexual situation,110,Ivan Reitman,Nao,USA,?,Kevin Kline,Sim,6.8,Nao
441,Dazed and Confused,1993,Comedy,?,14,102,Richard Linklater,Nao,USA,6900000,Jason London,Nao,7.7,Nao
442,Demolition Man,1993,Sci+AC0-Fi,Action,Rated R for non+AC0-stop action violence and for strong language,115,Marco Brambilla,Nao,USA,57000000,Sylvester Stallone,Nao,6.6,Nao
445,Fatal Instinct,1993,Comedy,?,Rated PG+AC0-13 for off+AC0-color humor,91,Carl Reiner,Nao,USA,?,Armand Assante,Nao,5.7,Nao
446,Farewell My Concubine,1993,Drama,Romance,14,171,Kaige Chen,Nao,China,?,Leslie Cheung,Nao,8.1,Nao
450,With Honors,1994,Drama,Comedy,Rated PG+AC0-13 for language and brief sensuality,103,Alek Keshishian,Nao,USA,?,Joe Pesci,Sim,6.7,Nao
451,Flesh and Bone,1993,Drama,Romance,Rated R for languagesome sexuality and a scene of intense violence,126,Steve Kloves,Nao,USA,?,Dennis Quaid,Nao,6.2,Nao
454,Firm,1993,Drama,Thriller,14,154,Sydney Pollack,Sim,USA,42000000,Tom Cruise,Nao,6.8,Nao
455,Free Willy,1993,Family,Adventure,Rated PG for some mild language,112,Simon Wincer,Nao,USA,20000000,Jason James Richter,Nao,5.9,Nao
457,Fugitive,1993,Action,Thriller,14,130,Andrew Davis,Nao,USA,44000000,Harrison Ford,Nao,7.8,Sim
461,Go Fish,1994,Drama,Romance,Rated R for strong sexuality and sexual dialogue,83,Rose Troche,Nao,USA,15000,V.S. Brodie,Nao,5.6,Nao
465,Heaven +ACY- Earth,1993,Drama,War,Rated R for violencelanguage and sexuality,140,Oliver Stone,Sim,France,33000000,Hiep Thi Le,Nao,6.8,Nao
466,Hot Shots+ACE- Part Deux,1993,Comedy,Action,Livre,86,Jim Abrahams,Nao,USA,25000000,Charlie Sheen,Nao,6.6,Nao
