ID de Usuario,ID de Filme,MovieID,T+AO0-tulo,Ano,G+AOo-nero 1,G+AOo-nero 2,Classifica+AOcA4w-o,Dura+AOcA4w-o,Diretor,Diretor Ganhou Oscar?,Pa+AO0-s de Origem,Or+AOc-amento (+ACQ-),Ator Principal,Ator Principal Ganhou Oscar?,Avalia+AOcA4w-o IMDB,Filme Ganhou Oscar,Agradou ?
2,292,292,Outbreak,1995,Drama,Action,Rated R for language,127,Wolfgang+AF8-Petersen,No,USA,50000000,Dustin+AF8-Hoffman,Yes,6.6,No,N+AOM-o
2,902,902,Breakfast at Tiffany's,1961,Drama,Romance,Livre,115,Blake+AF8-Edwards,No,USA,2500000,Audrey+AF8-Hepburn,Yes,7.7,Yes,N+AOM-o
2,368,368,Maverick,1994,Comedy,Action,Rated PG for mild sensuality language and some western action,127,Richard+AF8-Donner,No,USA,75000000,Mel+AF8-Gibson,No,7.0,No,Sim
2,1259,1259,Stand by Me,1986,Drama,Comedy,12,89,Rob+AF8-Reiner,No,USA,8000000,Wil+AF8-Wheaton,No,8.1,No,Sim
2,3147,3147,Green Mile,1999,Drama,Thriller,14,189,Frank+AF8-Darabont,No,USA,60000000,Tom+AF8-Hanks,Yes,8.5,No,Sim
2,1544,1544,Lost World: Jurassic Park,1997,Sci+AC0-Fi,Action,Livre,129,Steven+AF8-Spielberg,Yes,USA,73000000,Jeff+AF8-Goldblum,No,6.5,No,Sim
2,1293,1293,Gandhi,1982,Drama,?,14,191,Richard+AF8-Attenborough,Yes,UK,22000000,Ben+AF8-Kingsley,Yes,8.1,Yes,Sim
2,1188,1188,Strictly Ballroom,1992,Comedy,Romance,Livre,94,Baz+AF8-Luhrmann,No,Australia,?,Paul+AF8-Mercurio,No,7.2,No,Sim
2,3255,3255,League of Their Own,1992,Drama,Comedy,Rated PG for language,128,Penny+AF8-Marshall,No,USA,40000000,Tom+AF8-Hanks,Yes,7.2,No,Sim
2,3256,3256,Patriot Games,1992,Action,Thriller,12,117,Phillip+AF8-Noyce,No,USA,45000000,Harrison+AF8-Ford,No,6.9,No,N+AOM-o
2,3257,3257,Bodyguard,1992,Drama,Romance,Rated R for language,129,Mick+AF8-Jackson,No,USA,25000000,Kevin+AF8-Costner,No,6.2,No,N+AOM-o
2,110,110,Braveheart,1995,Drama,War,16,178,Mel+AF8-Gibson,Yes,USA,72000000,Mel+AF8-Gibson,No,8.4,Yes,Sim
2,2278,2278,Ronin,1998,Action,Crime,12,122,John+AF8-Frankenheimer,No,UK,55000000,Robert+AF8-De+AF8-Niro,Yes,7.3,No,N+AOM-o
2,2490,2490,Payback,1999,Action,Thriller,Rated R for strong violence language and drug and sexual content,100,Brian+AF8-Helgeland,No,USA,90000000,Mel+AF8-Gibson,No,7.1,No,N+AOM-o
2,3471,3471,Close Encounters of the Third Kind,1977,Drama,Sci+AC0-Fi,Livre,132,Steven+AF8-Spielberg,Yes,USA,20000000,Richard+AF8-Dreyfuss,Yes,7.7,Yes,Sim
2,589,589,Terminator 2: Judgment Day,1991,Sci+AC0-Fi,Action,14,137,James+AF8-Cameron,Yes,USA,102000000,Arnold+AF8-Schwarzenegger,No,8.5,Yes,Sim
2,1945,1945,On the Waterfront,1954,Drama,Crime,14,108,Elia+AF8-Kazan,Yes,USA,910000,Marlon+AF8-Brando,Yes,8.2,Yes,Sim
2,982,982,Picnic,1955,Drama,?,?,115,Joshua+AF8-Logan,No,USA,?,William+AF8-Holden,Yes,7.2,Yes,Sim
2,1873,1873,Miserables,1998,Drama,?,Rated PG+AC0-13 for violenceand for some sexual content,134,Bille+AF8-August,No,UK,?,Liam+AF8-Neeson,No,7.5,No,Sim
2,2858,2858,American Beauty,1999,Drama,Comedy,14,122,Sam+AF8-Mendes,Yes,USA,15000000,Kevin+AF8-Spacey,Yes,8.4,Yes,Sim
2,1225,1225,Amadeus,1984,Drama,?,Livre,160,Milos+AF8-Forman,Yes,USA,18000000,F.+AF8-Murray+AF8-Abraham,Yes,8.3,Yes,Sim
2,2028,2028,Saving Private Ryan,1998,Drama,War,14,169,Steven+AF8-Spielberg,Yes,USA,70000000,Tom+AF8-Hanks,Yes,8.6,Yes,Sim
2,515,515,Remains of the Day,1993,Drama,?,Rated PG for themes,134,James+AF8-Ivory,No,USA,15000000,Anthony+AF8-Hopkins,Yes,7.9,No,Sim
2,442,442,Demolition Man,1993,Sci+AC0-Fi,Action,Rated R for non+AC0-stop action violence and for strong language,115,Marco+AF8-Brambilla,No,USA,57000000,Sylvester+AF8-Stallone,No,6.6,No,N+AOM-o
2,2312,2312,Children of a Lesser God,1986,Drama,?,?,119,Randa+AF8-Haines,No,USA,?,William+AF8-Hurt,Yes,7.2,Yes,N+AOM-o
2,265,265,Like Water for Chocolate,1992,Drama,Romance,Rated R for sexuality,105,Alfonso+AF8-Arau,No,Mexico,2000000,Marco+AF8-Leonardi,No,7.2,No,Sim
2,1408,1408,Last of the Mohicans,1992,Action,War,12,112,Michael+AF8-Mann,No,USA,40000000,Daniel+AF8-Day+AC0-Lewis,Yes,7.8,Yes,N+AOM-o
2,1084,1084,Bonnie and Clyde,1967,Drama,Crime,14,111,Arthur+AF8-Penn,No,USA,2500000,Warren+AF8-Beatty,No,7.9,Yes,N+AOM-o
2,3699,3699,Starman,1984,Drama,Sci+AC0-Fi,?,115,John+AF8-Carpenter,No,USA,22000000,Jeff+AF8-Bridges,Yes,7.0,No,N+AOM-o
2,480,480,Jurassic Park,1993,Sci+AC0-Fi,Action,Livre,127,Steven+AF8-Spielberg,Yes,USA,63000000,Sam+AF8-Neill,No,8.1,Yes,Sim
2,2067,2067,Doctor Zhivago,1965,Drama,Romance,Livre,197,David+AF8-Lean,Yes,USA,11000000,Omar+AF8-Sharif,No,8.0,Yes,Sim
2,1265,1265,Groundhog Day,1993,Comedy,Romance,Livre,101,Harold+AF8-Ramis,No,USA,14600000,Bill+AF8-Murray,No,8.0,No,N+AOM-o
2,1370,1370,Die Hard 2,1990,Action,Thriller,14,124,Renny+AF8-Harlin,No,USA,70000000,Bruce+AF8-Willis,No,7.1,No,Sim
2,1193,1193,One Flew Over the Cuckoo's Nest,1975,Drama,?,14,133,Milos+AF8-Forman,Yes,USA,4400000,Jack+AF8-Nicholson,Yes,8.7,Yes,Sim
2,1801,1801,Man in the Iron Mask,1998,Drama,Romance,14,132,Randall+AF8-Wallace,No,USA,35000000,Leonardo+AF8-DiCaprio,Yes,6.5,No,N+AOM-o
2,1372,1372,Star Trek VI: The Undiscovered Country,1991,Sci+AC0-Fi,Action,Livre,113,Nicholas+AF8-Meyer,No,USA,30000000,William+AF8-Shatner,No,7.2,No,N+AOM-o
2,2353,2353,Enemy of the State,1998,Action,Thriller,14,132,Tony+AF8-Scott,No,USA,90000000,Will+AF8-Smith,No,7.3,No,Sim
2,3334,3334,Key Largo,1948,Drama,Thriller,?,100,John+AF8-Huston,Yes,USA,?,Humphrey+AF8-Bogart,Yes,7.9,Yes,Sim
2,2427,2427,Thin Red Line,1998,Drama,War,14,170,Terrence+AF8-Malick,No,USA,52000000,Jim+AF8-Caviezel,No,7.6,No,N+AOM-o
2,590,590,Dances with Wolves,1990,Drama,Western,14,181,Kevin+AF8-Costner,Yes,USA,22000000,Kevin+AF8-Costner,No,8.0,Yes,Sim
2,1196,1196,Star Wars: Episode V +AC0- The Empire Strikes Back,1980,Drama,Sci+AC0-Fi,Livre,124,Irvin+AF8-Kershner,No,USA,18000000,Mark+AF8-Hamill,No,8.8,Yes,Sim
2,1552,1552,Con Air,1997,Action,Adventure,16,115,Simon+AF8-West,No,USA,75000000,Nicolas+AF8-Cage,Yes,6.8,No,N+AOM-o
2,736,736,Twister,1996,Action,Adventure,Rated PG+AC0-13 for intense depiction of very bad weather,113,Jan+AF8-de+AF8-Bont,No,USA,92000000,Helen+AF8-Hunt,Yes,6.3,No,Sim
2,1198,1198,Raiders of the Lost Ark,1981,Action,Adventure,Livre,115,Steven+AF8-Spielberg,Yes,USA,18000000,Harrison+AF8-Ford,No,8.5,Yes,Sim
2,593,593,Silence of the Lambs,1991,Drama,Thriller,14,118,Jonathan+AF8-Demme,Yes,USA,19000000,Jodie+AF8-Foster,Yes,8.6,Yes,Sim
2,2359,2359,Waking Ned Devine,1998,Comedy,?,Rated PG for nuditylanguage and thematic elements,91,Kirk+AF8-Jones,No,UK,3000000,Ian+AF8-Bannen,No,7.4,No,N+AOM-o
2,95,95,Broken Arrow,1996,Action,Thriller,12,108,John+AF8-Woo,No,USA,50000000,John+AF8-Travolta,No,6.0,No,N+AOM-o
2,2717,2717,Ghostbusters II,1989,Horror,Comedy,Livre,108,Ivan+AF8-Reitman,No,USA,37000000,Bill+AF8-Murray,No,6.5,No,N+AOM-o
2,2571,2571,Matrix,1999,Sci+AC0-Fi,Action,12,136,Lana+AF8-Wachowski+AF8-(as+AF8-The+AF8-Wachowski+AF8-Brothers),No,USA,63000000,Keanu+AF8-Reeves,No,8.7,Yes,Sim
2,1917,1917,Armageddon,1998,Sci+AC0-Fi,Action,12,151,Michael+AF8-Bay,No,USA,140000000,Bruce+AF8-Willis,No,6.6,No,N+AOM-o
2,2396,2396,Shakespeare in Love,1998,Comedy,Romance,14,123,John+AF8-Madden,No,USA,25000000,Gwyneth+AF8-Paltrow,Yes,7.2,Yes,Sim
2,3735,3735,Serpico,1973,Drama,Crime,12,130,Sidney+AF8-Lumet,No,Italy,3000000,Al+AF8-Pacino,Yes,7.8,No,N+AOM-o
2,1953,1953,French Connection,1971,Drama,Action,14,104,William+AF8-Friedkin,Yes,USA,1800000,Gene+AF8-Hackman,Yes,7.8,Yes,Sim
2,1597,1597,Conspiracy Theory,1997,Action,Thriller,14,135,Richard+AF8-Donner,No,USA,75000000,Mel+AF8-Gibson,No,6.7,No,N+AOM-o
2,3809,3809,What About Bob,1991,Comedy,?,?,99,Frank+AF8-Oz,No,USA,35000000,Bill+AF8-Murray,No,7.0,No,N+AOM-o
2,1954,1954,Rocky,1976,Drama,Action,12,120,John+AF8-G.+AF8-Avildsen,Yes,USA,960000,Sylvester+AF8-Stallone,No,8.1,Yes,Sim
2,1955,1955,Kramer Vs. Kramer,1979,Drama,?,PG,105,Robert+AF8-Benton,Yes,USA,8000000,Dustin+AF8-Hoffman,Yes,7.8,Yes,Sim
2,235,235,Ed Wood,1994,Drama,Comedy,14,127,Tim+AF8-Burton,No,USA,18000000,Johnny+AF8-Depp,No,7.9,Yes,N+AOM-o
2,1124,1124,On Golden Pond,1981,Drama,?,?,109,Mark+AF8-Rydell,No,UK,?,Katharine+AF8-Hepburn,Yes,7.7,Yes,Sim
2,1957,1957,Chariots of Fire,1981,Drama,?,Livre,125,Hugh+AF8-Hudson,No,UK,5500000,Ben+AF8-Cross,No,7.2,Yes,Sim
2,163,163,Desperado,1995,Action,Romance,14,104,Robert+AF8-Rodriguez,No,USA,7000000,Antonio+AF8-Banderas,No,7.2,No,Sim
2,21,21,Get Shorty,1995,Drama,Action,Rated R for language and some violence,105,Barry+AF8-Sonnenfeld,No,USA,30250000,Gene+AF8-Hackman,Yes,6.9,No,N+AOM-o
2,165,165,Die Hard: With a Vengeance,1995,Action,Thriller,14,128,John+AF8-McTiernan,No,USA,90000000,Bruce+AF8-Willis,No,7.6,No,N+AOM-o
2,2321,2321,Pleasantville,1998,Comedy,?,Rated PG+AC0-13 for some thematic elements emphasizing sexuality and for language,124,Gary+AF8-Ross,No,USA,40000000,Tobey+AF8-Maguire,No,7.5,No,N+AOM-o
2,1090,1090,Platoon,1986,Drama,War,14,120,Oliver+AF8-Stone,Yes,UK,6000000,Charlie+AF8-Sheen,No,8.1,Yes,N+AOM-o
2,380,380,True Lies,1994,Comedy,Romance,14,141,James+AF8-Cameron,Yes,USA,115000000,Arnold+AF8-Schwarzenegger,No,7.2,No,Sim
2,2501,2501,October Sky,1999,Drama,?,Rated PG for languagebrief teen sensuality and alcohol useand for some thematic elements,108,Joe+AF8-Johnston,No,USA,25000000,Jake+AF8-Gyllenhaal,No,7.8,No,Sim
2,349,349,Clear and Present Danger,1994,Action,Adventure,12,141,Phillip+AF8-Noyce,No,USA,62000000,Harrison+AF8-Ford,No,6.9,No,Sim
2,457,457,Fugitive,1993,Action,Thriller,14,130,Andrew+AF8-Davis,No,USA,44000000,Harrison+AF8-Ford,No,7.8,Yes,Sim
2,1096,1096,Sophie's Choice,1982,Drama,?,?,150,Alan+AF8-J.+AF8-Pakula,No,UK,12000000,Meryl+AF8-Streep,Yes,7.7,Yes,Sim
2,920,920,Gone with the Wind,1939,Drama,Romance,Livre,238,Victor+AF8-Fleming,Yes,USA,3977000,Clark+AF8-Gable,Yes,8.2,Yes,Sim
2,1527,1527,Fifth Element,1997,Sci+AC0-Fi,Action,Livre,126,Luc+AF8-Besson,No,France,93000000,Bruce+AF8-Willis,No,7.7,No,Sim
2,3418,3418,Thelma +ACY- Louise,1991,Drama,Action,14,130,Ridley+AF8-Scott,No,USA,16500000,Susan+AF8-Sarandon,Yes,7.4,Yes,Sim
2,1385,1385,Under Siege,1992,Action,?,Rated R for strong violence and for language and brief nudity,103,Andrew+AF8-Davis,No,France,35000000,Steven+AF8-Seagal,No,6.4,No,N+AOM-o
2,3451,3451,Guess Who's Coming to Dinner,1967,Drama,Comedy,?,108,Stanley+AF8-Kramer,No,USA,4000000,Spencer+AF8-Tracy,Yes,7.8,Yes,Sim
2,3095,3095,Grapes of Wrath,1940,Drama,?,12,129,John+AF8-Ford,Yes,USA,800000,Henry+AF8-Fonda,Yes,8.1,Yes,Sim
2,780,780,Independence Day,1996,Sci+AC0-Fi,Action,12,145,Roland+AF8-Emmerich,No,USA,75000000,Will+AF8-Smith,No,6.9,Yes,N+AOM-o
2,2728,2728,Spartacus,1960,Drama,?,12,184,Stanley+AF8-Kubrick,No,USA,12000000,Kirk+AF8-Douglas,No,7.9,Yes,N+AOM-o
2,2002,2002,Lethal Weapon 3,1992,Drama,Action,Rated R for violence and language,118,Richard+AF8-Donner,No,USA,35000000,Mel+AF8-Gibson,No,6.7,No,Sim
2,1962,1962,Driving Miss Daisy,1989,Drama,?,Livre,99,Bruce+AF8-Beresford,No,USA,7500000,Morgan+AF8-Freeman,Yes,7.4,Yes,Sim
2,1784,1784,As Good As It Gets,1997,Drama,Comedy,Livre,139,James+AF8-L.+AF8-Brooks,Yes,USA,50000000,Jack+AF8-Nicholson,Yes,7.7,Yes,Sim
2,2006,2006,Mask of Zorro,1998,Action,Adventure,12,136,Martin+AF8-Campbell,No,USA,65000000,Antonio+AF8-Banderas,No,6.7,No,N+AOM-o
2,318,318,Shawshank Redemption,1994,Drama,?,16,142,Frank+AF8-Darabont,No,USA,25000000,Tim+AF8-Robbins,Yes,9.3,No,Sim
2,1207,1207,To Kill a Mockingbird,1962,Drama,?,?,129,Robert+AF8-Mulligan,No,USA,2000000,Gregory+AF8-Peck,Yes,8.3,Yes,Sim
2,1968,1968,Breakfast Club,1985,Drama,Comedy,14,97,John+AF8-Hughes,No,USA,1000000,Emilio+AF8-Estevez,No,7.9,No,N+AOM-o
2,1244,1244,Manhattan,1979,Drama,Romance,12,96,Woody+AF8-Allen,Yes,USA,?,Woody+AF8-Allen,No,8.0,No,N+AOM-o
2,356,356,Forrest Gump,1994,Comedy,Romance,14,142,Robert+AF8-Zemeckis,Yes,USA,55000000,Tom+AF8-Hanks,Yes,8.8,Yes,Sim
2,1245,1245,Miller's Crossing,1990,Drama,?,KNT/ENA,115,Joel+AF8-Coen,Yes,USA,14000000,Gabriel+AF8-Byrne,No,7.8,No,N+AOM-o
2,1246,1246,Dead Poets Society,1989,Drama,?,12,128,Peter+AF8-Weir,No,USA,16400000,Robin+AF8-Williams,Yes,8.0,Yes,Sim
2,3893,3893,Nurse Betty,2000,Comedy,Thriller,Rated R for strong violencepervasive language and a scene of sexuality,110,Neil+AF8-LaBute,No,Germany,35000000,Renee+AF8-Zellweger,Yes,6.3,No,N+AOM-o
2,1247,1247,Graduate,1967,Drama,Romance,14,106,Mike+AF8-Nichols,Yes,USA,3000000,Dustin+AF8-Hoffman,Yes,8.0,Yes,Sim
3,3421,3421,Animal House,1978,Comedy,?,?,109,John+AF8-Landis,No,USA,3000000,John+AF8-Belushi,No,7.6,No,Sim
3,1641,1641,Full Monty,1997,Comedy,?,12,91,Peter+AF8-Cattaneo,No,UK,3500000,Robert+AF8-Carlyle,No,7.2,Yes,N+AOM-o
3,648,648,Mission: Impossible,1996,Action,Adventure,Livre,110,Brian+AF8-De+AF8-Palma,No,USA,80000000,Tom+AF8-Cruise,No,7.1,No,N+AOM-o
3,1394,1394,Raising Arizona,1987,Comedy,?,12,94,Joel+AF8-Coen,Yes,USA,6000000,Nicolas+AF8-Cage,Yes,7.4,No,Sim
3,3534,3534,28 Days,2000,Comedy,?,Rated PG+AC0-13 for mature thematic elements involving substance abuselanguage and some sensuality,103,Betty+AF8-Thomas,No,USA,43000000,Sandra+AF8-Bullock,Yes,6.0,No,N+AOM-o
3,104,104,Happy Gilmore,1996,Comedy,?,Rated PG+AC0-13 for language and some comic sexuality,92,Dennis+AF8-Dugan,No,USA,12000000,Adam+AF8-Sandler,No,7.0,No,Sim
3,2735,2735,Golden Child,1986,Comedy,Action,?,94,Michael+AF8-Ritchie,No,USA,25000000,Eddie+AF8-Murphy,No,5.9,No,Sim
3,1210,1210,Star Wars: Episode VI +AC0- Return of the Jedi,1983,Sci+AC0-Fi,Action,Livre,131,Richard+AF8-Marquand,No,USA,32500000,Mark+AF8-Hamill,No,8.4,No,Sim
3,1431,1431,Beverly Hills Ninja,1997,Comedy,Action,Rated PG+AC0-13 for sex related humor martial arts violence and a humerous drug related scene,88,Dennis+AF8-Dugan,No,USA,?,Chris+AF8-Farley,No,5.5,No,N+AOM-o
3,3868,3868,Naked Gun: From the Files of Police Squad+ACE-,1988,Comedy,?,Livre,85,David+AF8-Zucker,No,USA,12000000,Leslie+AF8-Nielsen,No,7.6,No,N+AOM-o
3,1079,1079,Fish Called Wanda,1988,Comedy,?,?,108,Charles+AF8-Crichton,No,UK,7500000,John+AF8-Cleese,No,7.6,Yes,Sim
3,2997,2997,Being John Malkovich,1999,Comedy,?,18,112,Spike+AF8-Jonze,No,USA,13000000,John+AF8-Cusack,No,7.8,No,N+AOM-o
3,1615,1615,Edge,1997,Thriller,Adventure,Rated R for language and some adventure gore/violence,117,Lee+AF8-Tamahori,No,USA,?,Anthony+AF8-Hopkins,Yes,6.9,No,Sim
3,1291,1291,Indiana Jones and the Last Crusade,1989,Action,Adventure,Livre,127,Steven+AF8-Spielberg,Yes,USA,48000000,Harrison+AF8-Ford,No,8.3,Yes,Sim
3,1259,1259,Stand by Me,1986,Drama,Comedy,12,89,Rob+AF8-Reiner,No,USA,8000000,Wil+AF8-Wheaton,No,8.1,No,Sim
3,653,653,Dragonheart,1996,Action,Adventure,Rated PG+AC0-13 for action/violence,103,Rob+AF8-Cohen,No,USA,57000000,Dennis+AF8-Quaid,No,6.4,No,Sim
3,2167,2167,Blade,1998,Horror,Action,14,120,Stephen+AF8-Norrington,No,USA,45000000,Wesley+AF8-Snipes,No,7.1,No,Sim
3,1580,1580,Men in Black,1997,Sci+AC0-Fi,Action,Livre,98,Barry+AF8-Sonnenfeld,No,USA,90000000,Tommy+AF8-Lee+AF8-Jones,Yes,7.3,Yes,N+AOM-o
3,3619,3619,Hollywood Knights,1980,Comedy,?,?,91,Floyd+AF8-Mutrux,No,USA,?,Tony+AF8-Danza,No,6.3,No,N+AOM-o
3,260,260,Star Wars: Episode IV +AC0- A New Hope,1977,Sci+AC0-Fi,Action,10,121,George+AF8-Lucas,No,USA,11000000,Mark+AF8-Hamill,No,8.7,Yes,Sim
3,2858,2858,American Beauty,1999,Drama,Comedy,14,122,Sam+AF8-Mendes,Yes,USA,15000000,Kevin+AF8-Spacey,Yes,8.4,Yes,Sim
3,3114,3114,Toy Story 2,1999,Animation,Family,Livre,92,John+AF8-Lasseter,No,USA,90000000,?,?,7.9,No,N+AOM-o
3,1049,1049,Ghost and the Darkness,1996,Action,Adventure,14,110,Stephen+AF8-Hopkins,No,Germany,55000000,Michael+AF8-Douglas,Yes,6.8,Yes,Sim
3,1261,1261,Evil Dead II,1987,Horror,Comedy,16,84,Sam+AF8-Raimi,No,USA,3600000,Bruce+AF8-Campbell,No,7.8,No,N+AOM-o
3,552,552,Three Musketeers,1993,Comedy,Action,Rated PG for action/violence and some brief sensuality,105,Stephen+AF8-Herek,No,Austria,30000000,Charlie+AF8-Sheen,No,6.4,No,Sim
3,480,480,Jurassic Park,1993,Sci+AC0-Fi,Action,Livre,127,Steven+AF8-Spielberg,Yes,USA,63000000,Sam+AF8-Neill,No,8.1,Yes,Sim
3,1265,1265,Groundhog Day,1993,Comedy,Romance,Livre,101,Harold+AF8-Ramis,No,USA,14600000,Bill+AF8-Murray,No,8.0,No,N+AOM-o
3,1266,1266,Unforgiven,1992,Western,?,12,131,Clint+AF8-Eastwood,Yes,USA,14400000,Clint+AF8-Eastwood,No,8.2,Yes,Sim
3,733,733,Rock,1996,Action,Adventure,16,136,Michael+AF8-Bay,No,USA,75000000,Sean+AF8-Connery,Yes,7.4,No,Sim
3,1196,1196,Star Wars: Episode V +AC0- The Empire Strikes Back,1980,Drama,Sci+AC0-Fi,Livre,124,Irvin+AF8-Kershner,No,USA,18000000,Mark+AF8-Hamill,No,8.8,Yes,Sim
3,590,590,Dances with Wolves,1990,Drama,Western,14,181,Kevin+AF8-Costner,Yes,USA,22000000,Kevin+AF8-Costner,No,8.0,Yes,Sim
3,2355,2355,Bug's Life,1998,Animation,Family,Livre,95,John+AF8-Lasseter,No,USA,120000000,?,?,7.2,No,Sim
3,1197,1197,Princess Bride,1987,Comedy,Romance,Livre,98,Rob+AF8-Reiner,No,USA,16000000,Cary+AF8-Elwes,No,8.1,No,Sim
3,1198,1198,Raiders of the Lost Ark,1981,Action,Adventure,Livre,115,Steven+AF8-Spielberg,Yes,USA,18000000,Harrison+AF8-Ford,No,8.5,Yes,Sim
3,1378,1378,Young Guns,1988,Comedy,Action,?,107,Christopher+AF8-Cain,No,USA,13000000,Emilio+AF8-Estevez,No,6.8,No,Sim
3,593,593,Silence of the Lambs,1991,Drama,Thriller,14,118,Jonathan+AF8-Demme,Yes,USA,19000000,Jodie+AF8-Foster,Yes,8.6,Yes,N+AOM-o
3,1379,1379,Young Guns II,1990,Comedy,Action,?,104,Geoff+AF8-Murphy,No,USA,20000000,Emilio+AF8-Estevez,No,6.4,No,Sim
3,3552,3552,Caddyshack,1980,Comedy,?,?,98,Harold+AF8-Ramis,No,USA,6000000,Chevy+AF8-Chase,No,7.3,No,Sim
3,1304,1304,Butch Cassidy and the Sundance Kid,1969,Comedy,Action,12,110,George+AF8-Roy+AF8-Hill,Yes,USA,6000000,Paul+AF8-Newman,Yes,8.1,Yes,Sim
3,1270,1270,Back to the Future,1985,Sci+AC0-Fi,Comedy,Livre,116,Robert+AF8-Zemeckis,Yes,USA,19000000,Michael+AF8-J.+AF8-Fox,No,8.5,Yes,N+AOM-o
3,2470,2470,Crocodile Dundee,1986,Comedy,Adventure,?,97,Peter+AF8-Faiman,No,Australia,8800000,Paul+AF8-Hogan,No,6.5,No,Sim
3,3168,3168,Easy Rider,1969,Drama,Adventure,16,95,Dennis+AF8-Hopper,No,USA,400000,Peter+AF8-Fonda,No,7.4,No,Sim
3,2617,2617,Mummy,1999,Horror,Thriller,12,125,Stephen+AF8-Sommers,No,USA,80000000,Brendan+AF8-Fraser,No,7.0,No,N+AOM-o
3,1961,1961,Rain Man,1988,Drama,?,Livre,133,Barry+AF8-Levinson,Yes,USA,25000000,Dustin+AF8-Hoffman,Yes,8.0,Yes,Sim
